script	status	note	docstring
scripts/00_audit_current_pipeline_for_reorg.py	PRODUCTION_INFRA	Production wrapper/QC/reorg infrastructure	Audit current SRA curator pipeline before production reorganization.  This script is non-destructive. It does not call APIs. It does not modify existing outputs except writing audit reports.  Outputs:   outputs/00_REORG_AUDIT/current_pipeline_script_inventory.tsv   outputs/00_REORG_AUDIT/output_fold
scripts/01_define_active_workflow_and_outputs.py	PRODUCTION_INFRA	Production wrapper/QC/reorg infrastructure	Define the current active workflow map and final output map.  This is manually curated from the successful RNA/ChIP run. It is non-destructive.  Outputs:   outputs/00_REORG_AUDIT/ACTIVE_SCRIPT_MAP.tsv   outputs/00_REORG_AUDIT/FINAL_OUTPUT_MAP.tsv   docs/ACTIVE_WORKFLOW_MAP.md
scripts/01_filter_master_by_pmid.py	UNMAPPED_REVIEW	Not in active workflow map; review before moving/deleting	
scripts/02_create_clean_final_release.py	PRODUCTION_INFRA	Production wrapper/QC/reorg infrastructure	Create a clean final curator release folder.  Non-destructive: - reads existing final outputs - copies selected final files into results/final_curator_release/ - writes README + MANIFEST - creates a zip  No API calls. No modification of source outputs.
scripts/02_fetch_sra_runinfo_for_master_rows.py	UNMAPPED_REVIEW	Not in active workflow map; review before moving/deleting	
scripts/03_fetch_biosample_metadata_for_master_rows.py	UNMAPPED_REVIEW	Not in active workflow map; review before moving/deleting	
scripts/03_qc_final_release.py	PRODUCTION_INFRA	Production wrapper/QC/reorg infrastructure	QC the clean final curator release folder.  This script is read-only. It does not call APIs. It verifies that results/final_curator_release/ contains only expected curator-facing products.
scripts/04_pipeline_readiness_report.py	PRODUCTION_INFRA	Production wrapper/QC/reorg infrastructure	Generate a publication-readiness report for the curator pipeline.  This script: - does not call APIs - runs final release QC - runs golden-output tests - checks workflow/docs/scripts exist - checks AI execution safety behavior - writes docs/PIPELINE_READINESS_REPORT.md
scripts/04_populate_master_from_biosample.py	UNMAPPED_REVIEW	Not in active workflow map; review before moving/deleting	
scripts/05_evaluate_against_gold_standard.py	UNMAPPED_REVIEW	Not in active workflow map; review before moving/deleting	
scripts/05_run_all_checks.py	PRODUCTION_INFRA	Production wrapper/QC/reorg infrastructure	Run the production sanity-check suite.  This is the one-command local validation entry point.  It does not call APIs. It does not require OpenAI keys. It only regenerates ignored release artifacts under results/. It does not modify tracked documentation.  Checks: - production Python files compile - 
scripts/06_list_pmid_candidates.py	UNMAPPED_REVIEW	Not in active workflow map; review before moving/deleting	
scripts/06_script_cleanup_inventory.py	PRODUCTION_INFRA	Production wrapper/QC/reorg infrastructure	Create a script cleanup inventory before moving legacy files.  Non-destructive: - reads scripts/*.py - reads workflows/steps.tsv - classifies scripts as active workflow, production infrastructure, superseded candidate, or unmapped review - writes docs/SCRIPT_CLEANUP_INVENTORY.tsv - writes docs/SCRIP
scripts/07_extract_paper_context.py	UNMAPPED_REVIEW	Not in active workflow map; review before moving/deleting	
scripts/08_apply_paper_context_to_master.py	UNMAPPED_REVIEW	Not in active workflow map; review before moving/deleting	
scripts/09_make_curator_review_view.py	UNMAPPED_REVIEW	Not in active workflow map; review before moving/deleting	
scripts/10_make_llm_packet.py	UNMAPPED_REVIEW	Not in active workflow map; review before moving/deleting	
scripts/11_llm_curator_assist.py	UNMAPPED_REVIEW	Not in active workflow map; review before moving/deleting	
scripts/12_add_llm_to_curator_review.py	UNMAPPED_REVIEW	Not in active workflow map; review before moving/deleting	
scripts/13_add_control_group_columns.py	UNMAPPED_REVIEW	Not in active workflow map; review before moving/deleting	
scripts/14_add_curator_condition_fields.py	UNMAPPED_REVIEW	Not in active workflow map; review before moving/deleting	
scripts/15_download_open_access_pdfs.py	ACTIVE_WORKFLOW	Used by workflows/steps.tsv	
