step	assay	script	production_name	api	status	purpose	main_inputs	main_outputs
00	shared	scripts/28_add_stable_ids_to_master.py	01_prepare_rowwise_master.py	no	active_for_RNA_foundation	Add stable source_row_id and curation_group_id to the RNA master metadata without modifying the original Excel.	RNA master Excel	outputs/01_CURRENT_DRAFT_TABLES/rowwise_master_with_stable_ids.tsv
01	shared/RNA	scripts/33_fetch_public_sra_biosample_metadata.py	02_fetch_public_metadata.py	NCBI only; no OpenAI	active_for_RNA_public_metadata	Fetch/cache SRA RunInfo and BioSample XML metadata for runs.	rowwise stable-ID table	data/sra_runinfo_cache; data/biosample_cache
02	shared/RNA	scripts/34_build_rowwise_public_metadata_evidence.py	03_build_rowwise_public_evidence.py	no	active_for_RNA_public_metadata	Convert cached SRA/BioSample metadata into compact rowwise evidence for AI/curator review.	rowwise stable-ID table; SRA/BioSample cache	rowwise public metadata evidence TSV
03	shared/RNA	scripts/35_make_paper_level_ai_packets.py	04_build_paper_packets.py	no	active_for_RNA_packets	Create PMID/BioProject packet JSONs and sidecar rowwise TSVs.	rowwise public metadata evidence; paper/PDF context	paper packet JSONs and rowwise sidecar TSVs
04	shared/RNA	scripts/37_resolve_publication_links_for_packets.py	05_resolve_publications.py	NCBI only; no OpenAI	active_for_RNA_publication_resolution	Resolve or flag publication links for paper/BioProject packets using public metadata and NCBI/Entrez signals.	paper packets; BioProject/PMID metadata	trusted PMID packet tables and unresolved/held tables
05	shared/RNA	scripts/38_make_trusted_assay_aware_ai_queue.py	06_make_ai_queue.py	no	active_for_RNA_ai_queue	Build trusted assay-aware AI queue; exclude or hold unsafe/no-PMID packets.	trusted PMID packets; rowwise metadata	AI priority queue
06	shared/RNA/ChIP	scripts/39_run_agentic_ai_on_paper_packet.py	07_run_ai_on_packet_optional.py	OpenAI optional; disabled unless explicitly enabled	active_shared_ai_runner	Run AI on one packet: paper text + rowwise evidence -> study_summary, sample_map, rowwise_suggestions, readiness, warnings.	packet JSON; rowwise sidecar TSV; PDF/paper text	AI curation JSON
07	RNA	scripts/41e_batch_run_trusted_queue_production.py	08_run_rna_ai_batch_optional.py	OpenAI optional; dry-run by default	active_RNA_ai_batch	Production-safe batch runner for trusted RNA packets; skips already PASS unless forced.	trusted RNA AI queue	RNA AI output directories
08	RNA	scripts/40_validate_ai_curation_output.py	09_validate_rna_ai_output.py	no	active_RNA_validation	Validate one RNA AI JSON: rowwise coverage, source_row_id uniqueness, sample_map validity.	AI JSON; packet table	validation summary and issue tables
09	RNA	scripts/48_rebuild_sample_map_from_rowwise.py	10_repair_rna_sample_map.py	no	active_RNA_safe_repair	Deterministically rebuild sample_map from rowwise_suggestions when rowwise coverage is exact.	AI JSON with valid rowwise_suggestions	repaired AI JSON plus audit
